2025-01-24 16:18:11 - |INFO| - [tb_gateway_service.py] - tb_gateway_service - __init__ - 195 - Gateway starting...
2025-01-24 16:18:11 - |DEBUG| - [memory_event_storage.py] - memory_event_storage - __init__ - 29 - Memory storage created with following configuration: 
Max size: 100000
 Read records per time: 100
2025-01-24 16:18:11 - |DEBUG| - [tb_gateway_service.py] - tb_gateway_service - __load_persistent_connector_keys - 1896 - Persistent keys file not found
2025-01-24 16:18:11 - |DEBUG| - [tb_loader.py] - tb_loader - find_paths - 39 - Root path is: D:\Tools\Debug
2025-01-24 16:18:12 - |INFO| - [tb_loader.py] - tb_loader - import_module - 73 - Import AsyncBACnetConnector from D:\Tools\Debug\connectors\bacnet.
2025-01-24 16:18:12 - |DEBUG| - [tb_handler.py] - tb_handler - add_logger - 74 - Added main handler to log extension
2025-01-24 16:18:12 - |DEBUG| - [tb_handler.py] - tb_handler - add_logger - 74 - Added main handler to log tb_connection
2025-01-24 16:18:12 - |INFO| - [bacnet_connector.py] - bacnet_connector - __init__ - 68 - Starting BACnet connector...
2025-01-24 16:18:12 - |INFO| - [tb_gateway_service.py] - tb_gateway_service - __connect_with_connectors - 1030 - Cannot find separated report strategy for connector 'config_build_AB_AHU'.                                                          The main report strategy                                                          will be used as a connector report strategy.
2025-01-24 16:18:12 - |INFO| - [tb_client.py] - tb_client - connect - 371 - Connecting to ThingsBoard...
2025-01-24 16:18:12 - |INFO| - [tb_client.py] - tb_client - __send_connect - 398 - Sending connect to mq.mqtt.szifm.com:8885, tls: False...
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending CONNECT (u1, p1, wr0, wq0, wf0, c1, k120) client_id=b'3f581fd0d6bc4ea292c4ec5b63716183'
2025-01-24 16:18:12 - |INFO| - [tb_client.py] - tb_client - __send_connect - 401 - Connect msg sent to platform.
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received CONNACK (0, 0)
2025-01-24 16:18:12 - |DEBUG| - [tb_client.py] - tb_client - _on_connect - 297 - TB client <paho.mqtt.client.Client object at 0x000002024617A900> connected to platform
2025-01-24 16:18:12 - |INFO| - [tb_device_mqtt.py] - tb_device_mqtt - _on_connect - 445 - MQTT client <paho.mqtt.client.Client object at 0x000002024617A900> - Connected!
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m1) [(b'v1/devices/me/attributes', 0)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m2) [(b'v1/devices/me/attributes/response/+', 0)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m3) [(b'v1/devices/me/rpc/request/3f581fd0d6bc4ea292c4ec5b63716183/+', 0)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m4) [(b'v1/devices/me/rpc/response/+', 0)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m5) [(b'v1/gateway/attributes', 1)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m6) [(b'v1/gateway/attributes/response', 1)]
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending SUBSCRIBE (d0, m7) [(b'v1/gateway/rpc', 1)]
2025-01-24 16:18:12 - |DEBUG| - [tb_device_mqtt.py] - tb_device_mqtt - subscribe_to_attribute - 1045 - Subscribed to * with id 1
2025-01-24 16:18:12 - |INFO| - [tb_gateway_mqtt.py] - tb_gateway_mqtt - gw_subscribe_to_attribute - 255 - Subscribed to *|* with id 1 for device *
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [tb_gateway_mqtt.py] - tb_gateway_mqtt - _on_subscribe - 101 - Service subscription to topic v1/gateway/attributes - successfully completed.
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [tb_gateway_mqtt.py] - tb_gateway_mqtt - _on_subscribe - 101 - Service subscription to topic v1/gateway/attributes/response - successfully completed.
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Received SUBACK
2025-01-24 16:18:12 - |DEBUG| - [tb_gateway_mqtt.py] - tb_gateway_mqtt - _on_subscribe - 101 - Service subscription to topic v1/gateway/rpc - successfully completed.
2025-01-24 16:18:12 - |DEBUG| - [client.py] - client - _easy_log - 3259 - Sending PUBLISH (d0, q0, r0, m8), 'b'v1/devices/me/rpc/request/1'', ... (55 bytes)
2025-01-24 16:18:13 - |DEBUG| - [tb_gateway_service.py] - tb_gateway_service - __read_data_from_storage - 1367 - Send data Thread has been started successfully.
2025-01-24 16:18:13 - |INFO| - [tb_gateway_service.py] - tb_gateway_service - __init__ - 271 - Gateway core started.
2025-01-24 16:18:13 - |DEBUG| - [tb_gateway_service.py] - tb_gateway_service - __read_data_from_storage - 1368 - Maximal size of the client message queue is: 0
2025-01-24 16:18:13 - |INFO| - [tb_gateway_service.py] - tb_gateway_service - __init__ - 288 - Gateway connectors initialized.
2025-01-24 16:18:13 - |DEBUG| - [tb_gateway_service.py] - tb_gateway_service - __load_persistent_devices - 1918 - Loaded devices:
